Sample,Core_no,coreID,Depth,POM,POM_ID
,62,S62,0-5 cm,POM,POM245
,62,S62,0-5 cm,non-POM,POM246
,62,S62,5cm-end,POM,POM247
,62,S62,5cm-end,non-POM,POM248
,63,S63,0-5 cm,POM,POM249
,63,S63,0-5 cm,non-POM,POM250
,63,S63,5cm-end,POM,POM251
,63,S63,5cm-end,non-POM,POM252
,64,S64,0-5 cm,POM,POM253
,64,S64,0-5 cm,non-POM,POM254
,64,S64,5cm-end,POM,POM255
,64,S64,5cm-end,non-POM,POM256
,65,S65,0-5 cm,POM,POM257
,65,S65,0-5 cm,non-POM,POM258
,65,S65,5cm-end,POM,POM259
,65,S65,5cm-end,non-POM,POM260
,66,S66,0-5 cm,POM,POM261
,66,S66,0-5 cm,non-POM,POM262
,66,S66,5cm-end,POM,POM263
,66,S66,5cm-end,non-POM,POM264
,67,S67,0-5 cm,POM,POM265
,67,S67,0-5 cm,non-POM,POM266
,67,S67,5cm-end,POM,POM267
,67,S67,5cm-end,non-POM,POM268
,68,S68,0-5 cm,POM,POM269
,68,S68,0-5 cm,non-POM,POM270
,68,S68,5cm-end,POM,POM271
,68,S68,5cm-end,non-POM,POM272
,69,S69,0-5 cm,POM,POM273
,69,S69,0-5 cm,non-POM,POM274
,69,S69,5cm-end,POM,POM275
,69,S69,5cm-end,non-POM,POM276
,70,S70,0-5 cm,POM,POM277
,70,S70,0-5 cm,non-POM,POM278
,70,S70,5cm-end,POM,POM279
,70,S70,5cm-end,non-POM,POM280
,71,S71,0-5 cm,POM,POM281
,71,S71,0-5 cm,non-POM,POM282
,71,S71,5cm-end,POM,POM283
,71,S71,5cm-end,non-POM,POM284
,72,S72,0-5 cm,POM,POM285
,72,S72,0-5 cm,non-POM,POM286
,72,S72,5cm-end,POM,POM287
,72,S72,5cm-end,non-POM,POM288
,73,S73,0-5 cm,POM,POM289
,73,S73,0-5 cm,non-POM,POM290
,73,S73,5cm-end,POM,POM291
,73,S73,5cm-end,non-POM,POM292
,74,S74,0-5 cm,POM,POM293
,74,S74,0-5 cm,non-POM,POM294
,74,S74,5cm-end,POM,POM295
,74,S74,5cm-end,non-POM,POM296
,75,S75,0-5 cm,POM,POM297
,75,S75,0-5 cm,non-POM,POM298
,75,S75,5cm-end,POM,POM299
,75,S75,5cm-end,non-POM,POM300
,76,S76,0-5 cm,POM,POM301
,76,S76,0-5 cm,non-POM,POM302
,76,S76,5cm-end,POM,POM303
,76,S76,5cm-end,non-POM,POM304
,77,S77,0-5 cm,POM,POM305
,77,S77,0-5 cm,non-POM,POM306
,77,S77,5cm-end,POM,POM307
,77,S77,5cm-end,non-POM,POM308
,78,S78,0-5 cm,POM,POM309
,78,S78,0-5 cm,non-POM,POM310
,78,S78,5cm-end,POM,POM311
,78,S78,5cm-end,non-POM,POM312
,79,S79,0-5 cm,POM,POM313
,79,S79,0-5 cm,non-POM,POM314
,79,S79,5cm-end,POM,POM315
,79,S79,5cm-end,non-POM,POM316
,80,S80,0-5 cm,POM,POM317
,80,S80,0-5 cm,non-POM,POM318
,80,S80,5cm-end,POM,POM319
,80,S80,5cm-end,non-POM,POM320
,81,S81,0-5 cm,POM,POM321
,81,S81,0-5 cm,non-POM,POM322
,81,S81,5cm-end,POM,POM323
,81,S81,5cm-end,non-POM,POM324
,82,S82,0-5 cm,POM,POM325
,82,S82,0-5 cm,non-POM,POM326
,82,S82,5cm-end,POM,POM327
,82,S82,5cm-end,non-POM,POM328
,83,S83,0-5 cm,POM,POM329
,83,S83,0-5 cm,non-POM,POM330
,83,S83,5cm-end,POM,POM331
,83,S83,5cm-end,non-POM,POM332
,84,S84,0-5 cm,POM,POM333
,84,S84,0-5 cm,non-POM,POM334
,84,S84,5cm-end,POM,POM335
,84,S84,5cm-end,non-POM,POM336
,85,S85,0-5 cm,POM,POM337
,85,S85,0-5 cm,non-POM,POM338
,85,S85,5cm-end,POM,POM339
,85,S85,5cm-end,non-POM,POM340
,86,S86,0-5 cm,POM,POM341
,86,S86,0-5 cm,non-POM,POM342
,86,S86,5cm-end,POM,POM343
,86,S86,5cm-end,non-POM,POM344
,87,S87,0-5 cm,POM,POM345
,87,S87,0-5 cm,non-POM,POM346
,87,S87,5cm-end,POM,POM347
,87,S87,5cm-end,non-POM,POM348
