"DATETIME","ALARM_STATUS","MPVPosition","CH4_dry","CO2_dry","h2o_reported","Sample_number","Elapsed_seconds","Core"
2018-12-04 19:21:57,0,9,1.8248269364,859.98305583,2.9559023978,451,67,"10"
2018-12-04 19:21:58,0,9,1.8248269364,859.98305583,2.9559023978,451,68,"10"
2018-12-04 19:22:02,0,9,1.8479547884,817.52380128,2.9531457156,451,72,"10"
2018-12-04 19:22:04,0,9,1.8479547884,817.52380128,2.9531457156,451,74,"10"
2018-12-04 19:22:05,0,9,1.8479547884,817.52380128,2.9531457156,451,75,"10"
2018-12-04 19:22:09,0,9,1.8674302827,776.94499521,2.9530084948,451,79,"10"
2018-12-04 19:22:11,0,9,1.8674302827,776.94499521,2.9530084948,451,81,"10"
2018-12-04 19:22:12,0,9,1.8674302827,776.94499521,2.9530084948,451,82,"10"
2018-12-04 19:22:17,0,9,1.8815443681,743.86443812,2.9517071438,451,87,"10"
2018-12-04 19:23:26,0,10,1.9860674938,494.71575313,0.75923855912,453,0,"11"
2018-12-04 19:23:30,0,10,2.0091972034,1481.8317124,2.9208599066,453,4,"11"
2018-12-04 19:23:34,0,10,2.0091972034,1481.8317124,2.9208599066,453,8,"11"
2018-12-04 19:23:53,0,10,2.0091972034,1481.8317124,2.9208599066,453,27,"11"
2018-12-04 19:23:57,0,10,1.2083719752,1873.1957912,2.9497191112,453,31,"11"
2018-12-04 19:24:01,0,10,1.2083719752,1873.1957912,2.9497191112,453,35,"11"
2018-12-04 19:24:20,0,10,1.2083719752,1873.1957912,2.9497191112,453,54,"11"
2018-12-04 19:24:24,0,10,1.6819016131,1213.1759345,2.9596033505,453,58,"11"
2018-12-04 19:24:28,0,10,1.6819016131,1213.1759345,2.9596033505,453,62,"11"
2018-12-04 19:24:48,0,10,1.6819016131,1213.1759345,2.9596033505,453,82,"11"
2018-12-04 19:24:52,0,10,1.8518050801,913.68920482,2.9677421311,453,86,"11"
2018-12-04 19:24:53,0,10,1.8518050801,913.68920482,2.9677421311,453,87,"11"
2018-12-04 19:24:54,0,10,1.8518050801,913.68920482,2.9677421311,453,88,"11"
2018-12-04 19:24:59,0,10,1.9111273709,805.25966593,2.9679898162,453,93,"11"
2018-12-04 19:25:01,0,10,1.9111273709,805.25966593,2.9679898162,453,95,"11"
2018-12-04 19:25:02,0,10,1.9111273709,805.25966593,2.9679898162,453,96,"11"
2018-12-04 19:25:06,0,10,1.9178152544,774.86684239,2.9671505254,453,100,"11"
2018-12-04 19:25:39,0,11,1.9856435833,496.70575491,0.79620621764,455,0,"13"
2018-12-04 19:25:42,0,11,1.9856435833,496.70575491,0.79620621764,455,3,"13"
2018-12-04 19:26:01,0,11,1.9856435833,496.70575491,0.79620621764,455,22,"13"
2018-12-04 19:26:05,0,11,2.0482976574,1018.8336313,2.9324642951,455,26,"13"
2018-12-04 19:26:08,0,11,2.0482976574,1018.8336313,2.9324642951,455,29,"13"
2018-12-04 19:26:27,0,11,2.0482976574,1018.8336313,2.9324642951,455,48,"13"
2018-12-04 19:26:31,0,11,1.0764986983,1288.3369318,2.950704114,455,52,"13"
2018-12-04 19:26:35,0,11,1.0764986983,1288.3369318,2.950704114,455,56,"13"
2018-12-04 19:26:54,0,11,1.0764986983,1288.3369318,2.950704114,455,75,"13"
2018-12-04 19:26:58,0,11,1.6028343569,900.88421144,2.9558079138,455,79,"13"
2018-12-04 19:27:01,0,11,1.6028343569,900.88421144,2.9558079138,455,82,"13"
2018-12-04 19:27:20,0,11,1.6028343569,900.88421144,2.9558079138,455,101,"13"
2018-12-04 19:27:24,0,11,1.8111265609,699.55548852,2.958418015,455,105,"13"
2018-12-04 19:27:25,0,11,1.8111265609,699.55548852,2.958418015,455,106,"13"
2018-12-04 19:27:26,0,11,1.8111265609,699.55548852,2.958418015,455,107,"13"
2018-12-04 19:27:31,0,11,1.8686143659,632.04639701,2.9580256643,455,112,"13"
2018-12-04 19:28:06,0,12,1.9853942134,489.05620419,0.75627267455,457,0,"14"
2018-12-04 19:28:11,0,12,1.9943230471,491.60002611,1.5963725072,457,5,"14"
2018-12-04 19:28:14,0,12,1.9943230471,491.60002611,1.5963725072,457,8,"14"
2018-12-04 19:28:33,0,12,1.9943230471,491.60002611,1.5963725072,457,27,"14"
2018-12-04 19:28:37,0,12,1.549055731,985.77103545,2.2431322826,457,31,"14"
2018-12-04 19:28:38,0,12,1.549055731,985.77103545,2.2431322826,457,32,"14"
2018-12-04 19:28:39,0,12,1.549055731,985.77103545,2.2431322826,457,33,"14"
2018-12-04 19:28:44,0,12,1.2051411977,1325.0596434,2.2471304383,457,38,"14"
2018-12-04 19:28:45,0,12,1.2051411977,1325.0596434,2.2471304383,457,39,"14"
2018-12-04 19:28:46,0,12,1.2051411977,1325.0596434,2.2471304383,457,40,"14"
2018-12-04 19:28:51,0,12,1.3064262056,1239.4265247,2.2495306239,457,45,"14"
2018-12-04 19:28:54,0,12,1.3064262056,1239.4265247,2.2495306239,457,48,"14"
2018-12-04 19:29:13,0,12,1.3064262056,1239.4265247,2.2495306239,457,67,"14"
2018-12-04 19:29:17,0,12,1.4016490282,1056.330109,2.2529293167,457,71,"14"
2018-12-04 19:29:18,0,12,1.4016490282,1056.330109,2.2529293167,457,72,"14"
2018-12-04 19:29:19,0,12,1.4016490282,1056.330109,2.2529293167,457,73,"14"
2018-12-04 19:29:25,0,12,1.6721423414,902.25205462,2.2513795901,457,79,"14"
2018-12-04 19:29:27,0,12,1.6721423414,902.25205462,2.2513795901,457,81,"14"
2018-12-04 19:29:28,0,12,1.6721423414,902.25205462,2.2513795901,457,82,"14"
2018-12-04 19:29:31,0,12,1.7264342394,840.6837142,2.2545483778,457,85,"14"
2018-12-04 19:29:33,0,12,1.7264342394,840.6837142,2.2545483778,457,87,"14"
2018-12-04 19:29:34,0,12,1.7264342394,840.6837142,2.2545483778,457,88,"14"
2018-12-04 19:29:38,0,12,1.7587282233,800.25128529,2.2553445933,457,92,"14"
2018-12-04 19:29:40,0,12,1.7587282233,800.25128529,2.2553445933,457,94,"14"
2018-12-04 19:29:41,0,12,1.7587282233,800.25128529,2.2553445933,457,95,"14"
2018-12-04 19:29:45,0,12,1.789004101,759.3318167,2.2557347625,457,99,"14"
2018-12-04 19:29:46,0,12,1.789004101,759.3318167,2.2557347625,457,100,"14"
2018-12-04 19:29:47,0,12,1.789004101,759.3318167,2.2557347625,457,101,"14"
2018-12-04 19:29:53,0,12,1.8094025688,728.46657846,2.2527456314,457,107,"14"
2018-12-04 19:29:54,0,12,1.8094025688,728.46657846,2.2527456314,457,108,"14"
2018-12-04 19:29:55,0,12,1.8094025688,728.46657846,2.2527456314,457,109,"14"
2018-12-04 19:30:00,0,12,1.8304088914,693.42437525,2.254678082,457,114,"14"
2018-12-04 19:30:02,0,12,1.8304088914,693.42437525,2.254678082,457,116,"14"
2018-12-04 19:30:02,0,12,1.8304088914,693.42437525,2.254678082,457,116,"14"
2018-12-04 20:07:32,0,1,1.9870451854,494.61732812,0.87075968086,461,0,"18"
2018-12-04 20:07:33,0,1,1.9870451854,494.61732812,0.87075968086,461,1,"18"
2018-12-04 20:07:38,0,1,1.7339047053,799.89275897,2.8237360236,461,6,"18"
2018-12-04 20:07:39,0,1,1.7339047053,799.89275897,2.8237360236,461,7,"18"
2018-12-04 20:07:40,0,1,1.7339047053,799.89275897,2.8237360236,461,8,"18"
2018-12-04 20:07:45,0,1,0.92292056415,1521.8401295,2.9011145274,461,13,"18"
2018-12-04 20:07:47,0,1,0.92292056415,1521.8401295,2.9011145274,461,15,"18"
2018-12-04 20:07:48,0,1,0.92292056415,1521.8401295,2.9011145274,461,16,"18"
2018-12-04 20:07:52,0,1,1.0040077654,1456.1624577,2.914514857,461,20,"18"
2018-12-04 20:07:54,0,1,1.0040077654,1456.1624577,2.914514857,461,22,"18"
2018-12-04 20:07:55,0,1,1.0040077654,1456.1624577,2.914514857,461,23,"18"
2018-12-04 20:07:59,0,1,1.1504600242,1354.114156,2.9197239413,461,27,"18"
2018-12-04 20:08:01,0,1,1.1504600242,1354.114156,2.9197239413,461,29,"18"
2018-12-04 20:08:02,0,1,1.1504600242,1354.114156,2.9197239413,461,30,"18"
2018-12-04 20:08:07,0,1,1.3140294065,1230.2745498,2.9216023477,461,35,"18"
2018-12-04 20:08:08,0,1,1.3140294065,1230.2745498,2.9216023477,461,36,"18"
2018-12-04 20:08:09,0,1,1.3140294065,1230.2745498,2.9216023477,461,37,"18"
2018-12-04 20:08:14,0,1,1.4631240341,1102.8641146,2.922441688,461,42,"18"
2018-12-04 20:08:16,0,1,1.4631240341,1102.8641146,2.922441688,461,44,"18"
2018-12-04 20:08:17,0,1,1.4631240341,1102.8641146,2.922441688,461,45,"18"
2018-12-04 20:08:22,0,1,1.5838105632,988.7179025,2.9215313415,461,50,"18"
2018-12-04 20:08:24,0,1,1.5838105632,988.7179025,2.9215313415,461,52,"18"
2018-12-04 20:08:25,0,1,1.5838105632,988.7179025,2.9215313415,461,53,"18"
2018-12-04 20:08:29,0,1,1.6870419634,882.41360804,2.9289443738,461,57,"18"
2018-12-04 20:08:31,0,1,1.6870419634,882.41360804,2.9289443738,461,59,"18"
2018-12-04 20:08:32,0,1,1.6870419634,882.41360804,2.9289443738,461,60,"18"
2018-12-04 20:08:36,0,1,1.753411872,809.69549911,2.9266152218,461,64,"18"
2018-12-04 20:08:38,0,1,1.753411872,809.69549911,2.9266152218,461,66,"18"
2018-12-04 20:08:39,0,1,1.753411872,809.69549911,2.9266152218,461,67,"18"
2018-12-04 20:08:45,0,1,1.801381605,753.04869914,2.9270575954,461,73,"18"
2018-12-04 20:08:46,0,1,1.801381605,753.04869914,2.9270575954,461,74,"18"
2018-12-04 20:08:47,0,1,1.801381605,753.04869914,2.9270575954,461,75,"18"
2018-12-04 20:08:52,0,1,1.8403551022,703.25331614,2.9286614077,461,80,"18"
2018-12-04 20:08:54,0,1,1.8403551022,703.25331614,2.9286614077,461,82,"18"
2018-12-04 20:08:55,0,1,1.8403551022,703.25331614,2.9286614077,461,83,"18"
2018-12-04 20:08:59,0,1,1.8643315552,670.2480608,2.9269439847,461,87,"18"
2018-12-04 20:09:01,0,1,1.8643315552,670.2480608,2.9269439847,461,89,"18"
2018-12-04 20:09:02,0,1,1.8643315552,670.2480608,2.9269439847,461,90,"18"
2018-12-04 20:09:06,0,1,1.8817586751,644.42554734,2.9323190248,461,94,"18"
2018-12-04 20:09:08,0,1,1.8817586751,644.42554734,2.9323190248,461,96,"18"
2018-12-04 20:09:09,0,1,1.8817586751,644.42554734,2.9323190248,461,97,"18"
