Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,MolForm,AI,AI_Mod,DBE,DBE_O,DBE_AI,GFE,kmass.CH2,kdefect.CH2,NOSC,OtoC_ratio,HtoC_ratio,NtoC_ratio,PtoC_ratio,NtoP_ratio,bs1_class,bs2_class,bs3_class
239.067334446447,10,12,5,2,0,0,0,0,CHON,Lignin,240.074610913327,0.0441228360467969,1,C10H12O5N2,0,0.272727272727273,6,1,-1,48.9,238.800389725076,0.199610274924254,0.4,0.5,1.2,0.2,0,NA,Lignin,Lignin,Protein
239.069174928328,0,0,0,0,0,0,0,0,,None,240.076451395208,0,0,NA,NA,NA,NA,NA,NA,NA,238.802228151858,0.19777184814177,NA,NA,NA,NA,NA,NA,NA,NA,NA
239.071418257939,15,12,3,0,0,0,0,0,CHO,Lignin,240.078694724819,-0.210236560707272,1,C15H12O3,0.583333333333333,0.62962962962963,10,7,7,71.7,238.804468976547,0.195531023452645,-0.4,0.2,0.8,0,0,NA,Cond Hydrocarbon,Lignin,Other
239.085814267319,0,0,0,0,0,0,0,0,,None,240.093090734199,0,0,NA,NA,NA,NA,NA,NA,NA,238.818848911215,0.181151088785327,NA,NA,NA,NA,NA,NA,NA,NA,NA
239.08696275979,0,0,0,0,0,0,0,0,,None,240.09423922667,0,0,NA,NA,NA,NA,NA,NA,NA,238.819996121269,0.180003878731299,NA,NA,NA,NA,NA,NA,NA,NA,NA
239.089035517627,0,0,0,0,0,0,0,0,,None,240.096311984507,0,0,NA,NA,NA,NA,NA,NA,NA,238.822066564646,0.17793343535422,NA,NA,NA,NA,NA,NA,NA,NA,NA
239.08924558328,8,20,2,2,0,2,0,0,CHONS,Other,240.09652205016,0.404947305498194,1,C8H20O2N2S2,0,0,0,-2,-6,81.675,238.822276395738,0.177723604262411,-0.75,0.25,2.5,0.25,0,NA,Other,Lipid,Other
239.090208004246,0,0,0,0,0,0,0,0,,None,240.097484471126,0,0,NA,NA,NA,NA,NA,NA,NA,238.823237742056,0.176762257944233,NA,NA,NA,NA,NA,NA,NA,NA,NA
239.091866365327,0,0,0,0,0,0,0,0,,None,240.099142832207,0,0,NA,NA,NA,NA,NA,NA,NA,238.824894251396,0.175105748604039,NA,NA,NA,NA,NA,NA,NA,NA,NA
239.0925111958,12,16,5,0,0,0,0,0,CHO,Lignin,240.09978766268,-0.0584697710819261,1,C12H16O5,0,0.263157894736842,5,0,0,74.55,238.825538361846,0.174461638154497,-0.5,0.416666666666667,1.33333333333333,0,0,NA,Lignin,Lignin,Other
239.100316823758,0,0,0,0,0,0,0,0,,None,240.107593290638,0,0,NA,NA,NA,NA,NA,NA,NA,238.83333527397,0.166664726030433,NA,NA,NA,NA,NA,NA,NA,NA,NA
239.103724546139,11,16,4,2,0,0,0,0,CHON,Lignin,240.111001013019,0.0249858651907553,1,C11H16O4N2,0,0.142857142857143,5,1,-1,65.4818181818182,238.836739191257,0.163260808742649,-0.181818181818182,0.363636363636364,1.45454545454545,0.181818181818182,0,NA,Protein,Lignin,Protein
239.105513032349,0,0,0,0,0,0,0,0,,None,240.112789499229,0,0,NA,NA,NA,NA,NA,NA,NA,238.838525680428,0.161474319572363,NA,NA,NA,NA,NA,NA,NA,NA,NA
239.105661598669,0,0,0,0,0,0,0,0,,None,240.112938065549,0,0,NA,NA,NA,NA,NA,NA,NA,238.838674080857,0.161325919142826,NA,NA,NA,NA,NA,NA,NA,NA,NA
239.122266770581,12,20,1,2,0,1,0,0,CHONS,Lipid,240.129543237461,0.377825391903591,1,C12H20ON2S,0,0.0588235294117647,4,3,0,84.05,238.855260711286,0.144739288714135,-0.833333333333333,0.0833333333333333,1.66666666666667,0.166666666666667,0,NA,Lipid,Lipid;Unsat Hydrocarbon,Other
239.123617936912,0,0,0,0,0,0,0,0,,None,240.130894403792,0,0,NA,NA,NA,NA,NA,NA,NA,238.856610368892,0.14338963110751,NA,NA,NA,NA,NA,NA,NA,NA,NA
239.125338122223,0,0,0,0,0,0,0,0,,None,240.132614589103,0,0,NA,NA,NA,NA,NA,NA,NA,238.858328633429,0.14167136657079,NA,NA,NA,NA,NA,NA,NA,NA,NA
